City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,zhongxing,33.7039,118.6792,20.2,26,0,6.52,CN,1701931231
83,kirakira,-10.4544,161.9205,26.3,87,100,5.51,SB,1701931164
84,klaksvik,62.2266,-6.589,5.51,77,83,12.12,FO,1701931233
85,praia da vitoria,38.7333,-27.0667,15.98,88,20,3.25,PT,1701931235
86,daru,-9.0763,143.2092,28.07,72,100,3.63,PG,1701931236
87,pingliang,35.5392,106.6861,14.72,18,0,0.57,CN,1701931108
88,jamestown,42.097,-79.2353,0.77,96,100,3.13,US,1701931239
89,richards bay,-28.783,32.0377,21.17,85,100,3.48,ZA,1701930680
90,jiujiang,29.7333,115.9833,22.0,28,0,2.89,CN,1701931241
91,afaahiti,-17.75,-149.2833,22.93,92,100,6.71,PF,1701931243
92,alice springs,-23.7,133.8833,39.75,14,65,2.57,AU,1701931244
93,touggourt,33.1053,6.058,9.06,71,0,2.06,DZ,1701931245
94,tralee,52.2704,-9.7026,10.93,93,100,5.95,IE,1701931247
95,saipan,15.1355,145.701,27.39,89,75,4.63,MP,1701931248
96,aqsay,51.1678,52.995,-7.6,73,35,1.97,KZ,1701931249
97,ilulissat,69.2167,-51.1,1.01,47,75,7.72,GL,1701931251
98,invercargill,-46.4,168.35,12.32,66,100,6.54,NZ,1701931252
99,bethel,41.3712,-73.414,-0.91,74,0,0.89,US,1701931254
100,nacala,-14.5428,40.6728,31.62,58,40,6.17,MZ,1701931257
101,wailua homesteads,22.0669,-159.378,23.44,88,100,5.66,US,1701931258
102,ushuaia,-54.8,-68.3,6.81,81,75,10.73,AR,1701931113
103,mae sai,20.4335,99.8762,28.14,61,99,1.41,TH,1701931260
104,kingston,17.997,-76.7936,27.53,83,20,4.12,JM,1701931262
105,nova sintra,14.8667,-24.7167,21.41,70,100,6.43,CV,1701931263
106,ancud,-41.8697,-73.8203,8.21,91,16,1.1,CL,1701931264
107,college,64.8569,-147.8028,-13.03,77,100,2.06,US,1701931266
108,susuman,62.7833,148.1667,-43.9,96,99,0.45,RU,1701931267
109,fier,40.7239,19.5561,10.71,83,100,1.11,AL,1701931269
110,lorengau,-2.0226,147.2712,28.22,81,100,5.26,PG,1701931270
111,new norfolk,-42.7826,147.0587,22.06,32,100,2.28,AU,1701931271
112,gizo,-8.103,156.8419,28.0,82,100,10.0,SB,1701931273
113,touros,-5.1989,-35.4608,25.63,80,13,4.48,BR,1701931274
114,enewetak,11.3474,162.3373,27.7,81,8,9.77,MH,1701931275
115,longmen,24.9597,118.0889,23.34,27,9,1.52,CN,1701931277
116,kuta,-8.7233,115.1723,30.0,79,20,6.71,ID,1701931278
117,sandersville,32.9815,-82.8101,2.82,67,0,1.79,US,1701931281
118,tchintabaraden,15.8969,5.7985,20.01,19,26,3.75,NE,1701931282
119,glace bay,46.1969,-59.957,0.54,87,100,5.81,CA,1701931283
120,ulsan,35.5372,129.3167,10.73,36,0,3.0,KR,1701931285
121,upata,8.0086,-62.3989,21.2,97,98,3.03,VE,1701931286
122,vernon,50.2581,-119.2691,6.45,95,100,1.03,CA,1701931039
123,lebu,-37.6167,-73.65,11.24,93,10,6.23,CL,1701931289
124,aasiaat,68.7098,-52.8699,-6.54,80,100,5.47,GL,1701931292
125,tazovsky,67.4667,78.7,-21.18,96,100,6.95,RU,1701930705
126,guerrero negro,27.9769,-114.0611,18.17,82,0,4.53,MX,1701931296
127,mount isa,-20.7333,139.5,37.87,19,7,5.66,AU,1701931297
128,ha'il,27.5219,41.6907,17.01,42,0,2.06,SA,1701931298
129,mersa matruh,31.3525,27.2453,16.11,55,100,4.63,EG,1701931300
130,soledade,-28.8183,-52.5103,19.36,99,100,3.02,BR,1701931301
131,ialibu,-6.2821,143.9935,16.26,95,100,1.42,PG,1701931302
132,krasnoufimsk,56.6059,57.7669,-22.97,86,15,1.3,RU,1701931304
133,ust-nera,64.5667,143.2,-44.89,91,76,1.27,RU,1701931305
134,merizo village,13.2658,144.6691,30.32,79,64,6.41,GU,1701931306
135,vilhena,-12.7406,-60.1458,20.65,97,20,0.96,BR,1701931308
136,acajutla,13.5928,-89.8275,26.5,64,100,3.21,SV,1701931309
137,kodiak,57.79,-152.4072,2.73,56,0,6.69,US,1701931310
138,inongo,-1.95,18.2667,21.38,98,100,1.75,CD,1701931312
139,palmer,42.1584,-72.3287,-1.88,63,40,3.6,US,1701931313
140,yatou,37.15,122.3833,11.86,62,3,7.5,CN,1701931314
141,darwin,-12.4611,130.8418,34.97,55,40,5.66,AU,1701931272
142,gallup,35.5281,-108.7426,-1.09,80,0,2.06,US,1701931317
143,santa terezinha,-29.9002,-50.0904,22.46,94,100,1.64,BR,1701931318
144,kepsut,39.6889,28.1522,9.08,81,100,1.77,TR,1701931320
145,mhamid,29.82,-5.72,13.96,43,89,2.51,MA,1701931321
146,feijo,-8.1642,-70.3536,22.21,99,99,0.24,BR,1701931322
147,stanley,54.868,-1.6985,4.32,89,20,4.12,GB,1701931324
148,bambanglipuro,-7.95,110.2833,29.43,66,90,4.02,ID,1701931325
149,preobrazheniye,42.9019,133.9064,-2.28,48,0,8.29,RU,1701931326
150,uturoa,-16.7333,-151.4333,26.12,82,100,7.93,PF,1701931328
151,hamilton,39.1834,-84.5333,1.1,87,40,2.57,US,1701931329
152,pokhara,28.2333,83.9833,22.02,45,36,3.01,NP,1701931186
153,epinal,48.1833,6.45,-2.58,83,100,1.38,FR,1701931331
154,nemuro,43.3236,145.575,9.12,94,100,11.83,JP,1701931333
155,longyearbyen,78.2186,15.6401,-5.09,68,20,7.72,SJ,1701931334
156,olyokminsk,60.3736,120.4264,-41.47,99,69,0.32,RU,1701931336
157,fort bragg,35.139,-79.006,3.79,67,0,2.57,US,1701931337
158,lindi,-10.0,39.7167,29.86,72,95,0.9,TZ,1701931338
159,galesong,-5.3166,119.3661,30.01,66,100,1.7,ID,1701931340
160,vadso,70.0744,29.7487,-11.91,85,40,6.69,NO,1701931341
161,kapa'a,22.0752,-159.319,24.18,88,100,5.66,US,1701931342
162,villa regina,-39.1,-67.0667,17.77,28,59,3.54,AR,1701931344
163,isafjordur,66.0755,-23.124,-2.26,78,47,3.97,IS,1701931345
164,severo-yeniseyskiy,60.3725,93.0408,-32.46,87,18,0.45,RU,1701931346
165,utrik,11.2278,169.8474,27.38,82,90,11.03,MH,1701931348
166,gadzhiyevo,69.2551,33.3362,-15.63,97,45,5.87,RU,1701931349
167,canutama,-6.5339,-64.3831,23.23,95,100,1.15,BR,1701931350
168,flying fish cove,-10.4217,105.6791,28.82,74,75,3.6,CX,1701931307
